ID,Category,Subcategory,Source,Name,Severity,Version,Effects,Description
Category_2._Power_Platform_Data_Loss_Prevention_Policies,2. Power Platform Data Loss Prevention Policies,Policies,CISA M365 Secure Configuration Baseline for Power Platform,A DLP policy SHALL be created to restrict connector access in the default Power Platform environment,High,,,A DLP policy SHALL be created to restrict connector access in the default Power Platform environment.
Category_6._Data_Loss_Prevention,6. Data Loss Prevention,Policies,CISA M365 Secure Configuration Baseline for Teams,A DLP solution SHALL be enabled,High,,,A DLP solution SHALL be enabled. The selected DLP solution SHOULD offer services comparable to the native DLP solution offered by Microsoft.
Category_8._Data_Loss_Prevention_Solutions,8. Data Loss Prevention Solutions,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,A DLP solution SHALL be used,High,,,A DLP solution SHALL be used.
"Category_4._Domain-Based_Message_Authentication,_Reporting,_and_Conformance_(DMARC)","4. Domain-Based Message Authentication, Reporting, and Conformance (DMARC)",Policies,CISA M365 Secure Configuration Baseline for Exchange Online,A DMARC policy SHALL be published for every second-level domain,High,,,"A DMARC policy SHALL be published for every second-level domain.
may improperly handle SPF and DKIM failures, possibly enabling spoofed
emails to reach end users' mailboxes. Publishing DMARC records at the
second-level domain protects the second-level domains and all subdomains."
Category_4._Data_Loss_Prevention,4. Data Loss Prevention,Policies,CISA M365 Secure Configuration Baseline for Defender,"A custom policy SHALL be configured to protect PII and sensitive information, as defined by the agency, blocking at a minimum: credit card numbers, U",High,,,"A custom policy SHALL be configured to protect PII and sensitive information, as defined by the agency, blocking at a minimum: credit card numbers, U.S. Individual Taxpayer Identification Numbers (ITIN), and U.S. Social Security numbers (SSN).
others who should not have access to it. DLP policies
provide a way for agencies to detect and prevent
unauthorized disclosures."
Category_7._Highly_Privileged_User_Access,7. Highly Privileged User Access,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,A minimum of two users and a maximum of eight users SHALL be provisioned with the Global Administrator role,High,,,A minimum of two users and a maximum of eight users SHALL be provisioned with the Global Administrator role.
Category_14._Inbound_Anti-Spam_Protections,14. Inbound Anti-Spam Protections,Policies,CISA M365 Secure Configuration Baseline for Exchange Online,A spam filter SHALL be enabled,High,,,A spam filter SHALL be enabled.
Category_7._Highly_Privileged_User_Access,7. Highly Privileged User Access,Policies,CISA M365 Secure Configuration Baseline for Microsoft Entra ID,Activation of the Global Administrator role SHALL require approval,High,,,Activation of the Global Administrator role SHALL require approval.
Category_1._Preset_Security_Profiles,1. Preset Security Profiles,Policies,CISA M365 Secure Configuration Baseline for Defender,All users SHALL be added to Defender for Office 365 protection in either the standard or strict preset security policy,High,,,"All users SHALL be added to Defender for Office 365 protection in either the standard or strict preset security policy.
- The standard and strict preset security policies must be enabled as directed
by [MS.DEFENDER.1.1v1](#msdefender11v1) for protections to be applied.
- Specific user accounts, except for sensitive accounts, MAY be exempt from the preset policies, provided they are added to one or more custom policies offering comparable protection. These users might need flexibility not offered by the preset policies. Their accounts should be added to a custom policy conforming as closely as possible to the settings used by the preset policies. See the **Resources** section for more details on configuring policies."
Category_1._Preset_Security_Profiles,1. Preset Security Profiles,Policies,CISA M365 Secure Configuration Baseline for Defender,All users SHALL be added to Exchange Online Protection (EOP) in either the standard or strict preset security policy,High,,,"All users SHALL be added to Exchange Online Protection (EOP) in either the standard or strict preset security policy.
- The standard and strict preset security policies must be enabled as directed
by [MS.DEFENDER.1.1v1](#msdefender11v1) for protections to be applied.
- Specific user accounts, except for sensitive accounts, MAY be exempt from the preset policies, provided they are added to one or more custom policies offering comparable protection. These users might need flexibility not offered by the preset policies. Their accounts should be added to a custom policy conforming, as closely as possible to the settings used by the preset policies. See the **Resources** section for more details on configuring policies."
